"","Geo_Code","birds","fungi","insects","mammals","plants","sum"
"44",2445,3.40136054421769,0.0850340136054422,13.265306122449,5.10204081632653,78.1462585034014,1176
"45",2446,19.4125159642401,1.02171136653895,24.2656449553001,11.749680715198,43.5504469987229,783
"46",2447,28.2051282051282,0.366300366300366,22.7106227106227,8.05860805860806,40.6593406593407,273
"47",2448,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,63.6363636363636,11
"48",2449,16.6666666666667,1.11111111111111,18.8888888888889,6.66666666666667,56.6666666666667,90
"49",2450,46.4285714285714,3.57142857142857,14.2857142857143,3.57142857142857,32.1428571428571,28
"50",2451,10.7142857142857,1.78571428571429,17.8571428571429,3.57142857142857,66.0714285714286,56
"51",2452,15.3846153846154,3.84615384615385,26.9230769230769,19.2307692307692,34.6153846153846,26
"52",2453,15.2173913043478,2.17391304347826,54.3478260869565,8.69565217391304,19.5652173913043,46
"53",2454,1.68776371308017,0.421940928270042,31.6455696202532,5.06329113924051,61.1814345991561,237
"54",2455,5.55555555555556,2.77777777777778,50,22.2222222222222,19.4444444444444,36
"55",2456,41.2698412698413,1.58730158730159,9.52380952380952,5.55555555555556,42.0634920634921,378
"56",2457,22.0264317180617,0.440528634361234,18.942731277533,8.14977973568282,50.4405286343612,454
"57",2458,7.88770053475936,0.802139037433155,29.6791443850267,7.75401069518717,53.8770053475936,748
"58",2459,7.54716981132075,1.88679245283019,35.8490566037736,3.77358490566038,50.9433962264151,53
"59",2460,10,1.11111111111111,4.44444444444444,4.44444444444444,80,90
"60",2461,0.709219858156028,0.709219858156028,39.0070921985816,2.83687943262411,56.7375886524823,141
"61",2462,10.3538663171691,0.262123197903014,7.3394495412844,5.5045871559633,76.5399737876802,763
"62",2463,6.45161290322581,1.61290322580645,11.2903225806452,9.67741935483871,70.9677419354839,62
"63",2464,2.08333333333333,2.08333333333333,37.5,2.08333333333333,56.25,48
"64",2465,9.74930362116992,0.278551532033426,38.1615598885794,4.17827298050139,47.6323119777159,359
"65",2466,15.6722809020839,0.0285469597487868,32.0867827576363,9.96288895232658,42.2495004282044,3503
"66",2467,6.8241469816273,0.26246719160105,54.0682414698163,4.98687664041995,33.8582677165354,381
"67",2468,5.47945205479452,1.36986301369863,24.6575342465753,9.58904109589041,58.9041095890411,73
"68",2469,5.55555555555556,3.33333333333333,12.7777777777778,0.555555555555556,77.7777777777778,180
"69",2470,21.2121212121212,3.03030303030303,18.1818181818182,15.1515151515152,42.4242424242424,33
"70",2471,3.06038047973532,0.0827129859387924,66.5839536807279,1.0752688172043,29.1976840363937,1209
"71",2472,8.87573964497041,0.591715976331361,29.585798816568,4.73372781065089,56.2130177514793,169
"72",2473,4.9800796812749,0.199203187250996,26.6932270916335,4.7808764940239,63.3466135458167,502
"73",2474,1.36054421768707,1.08843537414966,48.0272108843537,1.22448979591837,48.2993197278912,735
"74",2475,41.0094637223975,0.315457413249211,10.5678233438486,6.94006309148265,41.1671924290221,634
"75",2476,3.72250423011844,20.3045685279188,6.42978003384095,2.19966159052453,67.3434856175973,591
"76",2477,6.11814345991561,1.26582278481013,11.6033755274262,3.79746835443038,77.2151898734177,474
"77",2478,4.70779220779221,2.5974025974026,18.3441558441558,8.27922077922078,66.0714285714286,616
