"CDUID","obs_totalpop","mean_obs_per_observer","observer_totalpop"
"2452",9.78712992414974e-05,4,2.44678248103744e-05
"2453",0.000140930138916851,2.33333333333333,6.03986309643648e-05
"2454",4.88639139995114e-05,1,4.88639139995114e-05
"2455",5.76701268742791e-05,1,5.76701268742791e-05
"2456",0.00139006460236133,12,0.000115838716863444
"2457",0.000871042201994687,4.76190476190476,0.000182918862418884
"2458",0.000150018434468642,2.56521739130435,5.84817625894707e-05
"2459",5.44959128065395e-05,1.33333333333333,4.08719346049046e-05
"2460",7.58469576942525e-05,3,2.52823192314175e-05
"2461",1.6214025131739e-05,1,1.6214025131739e-05
"2462",0.00162702090412934,4.9375,0.000329523221089486
"2463",8.38047349675257e-05,1,8.38047349675257e-05
"2464",6.78035054412313e-06,1,6.78035054412313e-06
"2465",8.91208861162391e-05,2.91666666666667,3.05557323827105e-05
"2466",0.000297641637300081,4.42741935483871,6.72268907563025e-05
"2467",0.000161908023788025,1.73333333333333,9.34084752623221e-05
"2468",0.000156219488381176,1,0.000156219488381176
"2469",0.000478812544888676,1.66666666666667,0.000287287526933206
"2470",0.000115990057995029,1.16666666666667,9.94200497100249e-05
"2471",0.000268349289237018,2.05555555555556,0.000130548302872063
"2472",0.000158595897652781,1.36363636363636,0.000116303658278706
"2473",0.000165469768673263,4.16666666666667,3.97127444815832e-05
"2474",0.000240384615384615,1.66666666666667,0.000144230769230769
"2475",0.00230292294065545,23.6363636363636,9.74313551815766e-05
"2476",0.00070041388092964,2.2,0.000318369945877109
"2477",0.000729559748427673,2.23076923076923,0.000327044025157233
"2478",0.000656702898550725,2.23076923076923,0.000294384057971015
"2479",5.8633831720903e-05,1,5.8633831720903e-05
"2480",0.00140877073392411,2.81818181818182,0.000499886389456942
"2481",0.00057706271257691,4.19444444444444,0.000137577865250124
"2482",0.00583071420830172,8.67741935483871,0.000671941042592392
"2483",0.00182987141444115,5.28571428571429,0.000346191889218595
"2484",0.0014149274849664,2.85714285714286,0.000495224619738238
"2485",6.1652281134402e-05,1,6.1652281134402e-05
"2486",2.50093785169439e-05,1,2.50093785169439e-05
"2487",4.8661800486618e-05,1,4.8661800486618e-05
"2488",4.20786871449611e-05,1,4.20786871449611e-05
"2489",0.000214005469028653,3,7.13351563428843e-05
"2490",0.000603419376466644,4.5,0.000134093194770365
"2491",0.000161603102779573,1.25,0.000129282482223659
"2492",4.0983606557377e-05,1,4.0983606557377e-05
"2493",0.0003324208056316,5.66666666666667,5.86624951114587e-05
"2494",9.8988461657438e-05,2.28571428571429,4.33074519751291e-05
"2495",0.011727842435094,8.1875,0.00143240823634736
"2496",9.58619587793577e-05,1.5,6.39079725195718e-05
"2497",0.00015390534821085,2,7.69526741054252e-05
"2498",0.000780234070221066,2.25,0.000346770697876029
"2499",0.00158056145317292,11.1666666666667,0.000141542816702052
